,current_combo,valid_train_start_date, valid_train_end_date,valid_end_date,oos_square
2016,"(16, 1, 15, 10, '')",2005-05-01 00:00:00,2020-05-01 00:00:00,2020-06-01 00:00:00,-0.5547169811320756
2017,"(16, 1, 15, 10, '')",2005-07-01 00:00:00,2020-07-01 00:00:00,2020-08-01 00:00:00,0.40684410646387836
2018,"(16, 1, 15, 10, '')",2005-09-01 00:00:00,2020-09-01 00:00:00,2020-10-01 00:00:00,-1.099236641221374
2019,"(16, 1, 15, 10, '')",2006-02-01 00:00:00,2021-02-01 00:00:00,2021-03-01 00:00:00,0.36801541425818884
2020,"(17, 1, 10, 10, 'mi')",2004-03-01 00:00:00,2014-03-01 00:00:00,2014-04-01 00:00:00,0.261744966442953
2021,"(17, 1, 10, 10, 'mi')",2005-07-01 00:00:00,2015-07-01 00:00:00,2015-08-01 00:00:00,-0.39931740614334466
2022,"(17, 1, 10, 10, 'mi')",2006-11-01 00:00:00,2016-11-01 00:00:00,2016-12-01 00:00:00,0.03327495621716292
2023,"(17, 1, 10, 10, 'mi')",2008-03-01 00:00:00,2018-03-01 00:00:00,2018-04-01 00:00:00,0.16396396396396395
2024,"(17, 1, 10, 10, 'mi')",2011-02-01 00:00:00,2021-02-01 00:00:00,2021-03-01 00:00:00,0.32947976878612717
2025,"(17, 1, 10, 10, '')",2004-03-01 00:00:00,2014-03-01 00:00:00,2014-04-01 00:00:00,0.261744966442953
2026,"(17, 1, 10, 10, '')",2005-07-01 00:00:00,2015-07-01 00:00:00,2015-08-01 00:00:00,-0.4402730375426622
2027,"(17, 1, 10, 10, '')",2006-11-01 00:00:00,2016-11-01 00:00:00,2016-12-01 00:00:00,0.08231173380035028
2028,"(17, 1, 10, 10, '')",2008-03-01 00:00:00,2018-03-01 00:00:00,2018-04-01 00:00:00,0.1711711711711712
2029,"(17, 1, 10, 10, '')",2011-02-01 00:00:00,2021-02-01 00:00:00,2021-03-01 00:00:00,0.4065510597302505
2030,"(17, 1, 15, 10, 'mi')",2004-03-01 00:00:00,2019-03-01 00:00:00,2019-04-01 00:00:00,0.7042513863216266
2031,"(17, 1, 15, 10, 'mi')",2004-07-01 00:00:00,2019-07-01 00:00:00,2019-08-01 00:00:00,-0.10905730129390023
2032,"(17, 1, 15, 10, 'mi')",2004-11-01 00:00:00,2019-11-01 00:00:00,2019-12-01 00:00:00,0.7906542056074766
2033,"(17, 1, 15, 10, 'mi')",2005-03-01 00:00:00,2020-03-01 00:00:00,2020-04-01 00:00:00,-0.08614232209737827
2034,"(17, 1, 15, 10, 'mi')",2006-02-01 00:00:00,2021-02-01 00:00:00,2021-03-01 00:00:00,0.3140655105973025
2035,"(17, 1, 15, 10, '')",2004-03-01 00:00:00,2019-03-01 00:00:00,2019-04-01 00:00:00,0.66728280961183
2036,"(17, 1, 15, 10, '')",2004-07-01 00:00:00,2019-07-01 00:00:00,2019-08-01 00:00:00,-0.24214417744916816
2037,"(17, 1, 15, 10, '')",2004-11-01 00:00:00,2019-11-01 00:00:00,2019-12-01 00:00:00,0.7981308411214953
2038,"(17, 1, 15, 10, '')",2005-03-01 00:00:00,2020-03-01 00:00:00,2020-04-01 00:00:00,-0.02621722846441954
